**********************************************
* Logging started at Thu Feb 27 22:56:30 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Thu Feb 27 22:56:30 2025
**********************************************
**********************************************
* Logging started at Thu Feb 27 22:56:37 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>@contacts_output
contact = 1 1 1 0 (0.362109,-0.687714,0.997993) (0,0,-1)
subcontact = (-1.27002,-0.385983,1.70197) 10442.1 (752.729,-880.568,87.1802) 11 -1.25452e-05 (-2.17041e-06,2.53902e-06,-2.51374e-07) 752714 83742.4 0.0138726
subcontact = (-1.27002,-0.654982,1.74399) 7404.98 (670.292,-1114.2,128.671) 10 -7.03591e-06 (-1.52852e-06,2.54081e-06,-2.9342e-07) 422155 74490.7 0.0175409
subcontact = (-0.953016,-0.768979,1.741) 5001.1 (579.68,-1504.54,194.925) 9 -4.5433e-06 (-1.26388e-06,3.28036e-06,-4.24996e-07) 272598 88525.3 0.0183461
subcontact = (-1.28902,-0.814981,1.77099) 3845.25 (487.765,-1068.96,133.553) 8 -3.76611e-06 (-1.14654e-06,2.51271e-06,-3.1393e-07) 225966 69492.8 0.0170169
subcontact = (-1.70302,-0.654984,1.77299) 5456.12 (476.22,-483.931,43.8415) 7 -7.24964e-06 (-1.51863e-06,1.54322e-06,-1.39807e-07) 434978 54240.8 0.0125434
subcontact = (-1.62301,-0.876983,1.80199) 1068.39 (165.515,-287.893,33.7463) 6 -2.66435e-06 (-9.9062e-07,1.72306e-06,-2.01974e-07) 159861 49944.2 0.00668327
subcontact = (-1.27002,-0.385984,1.70199) 10442 (752.727,-880.57,87.1805) 5 -1.25452e-05 (-2.1704e-06,2.53902e-06,-2.51375e-07) 752711 83742.4 0.0138726
subcontact = (-1.06402,-0.385983,1.68899) 4975.41 (362.488,-504.769,54.4642) 4 -1.24411e-05 (-2.17537e-06,3.02923e-06,-3.26852e-07) 746463 93592.4 0.00666531
subcontact = (-1.28901,-0.814983,1.771) 3845.2 (487.763,-1068.96,133.554) 3 -3.76606e-06 (-1.14654e-06,2.51271e-06,-3.13931e-07) 225963 69492.9 0.0170169
subcontact = (-0.953014,-0.768982,1.741) 5001.05 (579.678,-1504.54,194.926) 2 -4.54325e-06 (-1.26387e-06,3.28036e-06,-4.24997e-07) 272595 88525.3 0.0183461
subcontact = (-1.27001,-0.654983,1.74399) 7404.93 (670.289,-1114.2,128.672) 1 -7.03587e-06 (-1.52852e-06,2.54081e-06,-2.93421e-07) 422152 74490.7 0.0175409
3dec>log off
**********************************************
* Logging ended at Thu Feb 27 22:56:37 2025
**********************************************
**********************************************
* Logging started at Fri Mar 7 15:44:28 2025
* By 3dec Version 7.00 Release 161
* 
* 
* Job Title: 
**********************************************
3dec>log-file 'init_state.txt'
**********************************************
* Logging ended at Fri Mar 7 15:44:28 2025
**********************************************
